Query,Response
What does error 0x2080 mean?,The error 0x2080 (ERROR_DS_CANT_ADD_ATT_VALUES) indicates that the specified attribute is not present or has no values and therefore cannot be modified.
What does error 0x2081 mean?,The error 0x2081 (ERROR_DS_SINGLE_VALUE_CONSTRAINT) occurs when multiple values are specified for an attribute that can only have a single value.
What does error 0x2082 mean?,The error 0x2082 (ERROR_DS_RANGE_CONSTRAINT) means the value provided for the attribute is not within the acceptable range of values.
What does error 0x2083 mean?,The error 0x2083 (ERROR_DS_ATT_VAL_ALREADY_EXISTS) indicates that the specified value already exists for the attribute.
What does error 0x2084 mean?,The error 0x2084 (ERROR_DS_CANT_REM_MISSING_ATT) occurs when an attempt is made to remove an attribute that is not present on the object.
What does error 0x2085 mean?,The error 0x2085 (ERROR_DS_CANT_REM_MISSING_ATT_VAL) means that the attribute value cannot be removed because it is not present on the object.
What does error 0x2086 mean?,The error 0x2086 (ERROR_DS_ROOT_CANT_BE_SUBREF) indicates that the specified root object cannot be a subreference.
What does error 0x2087 mean?,The error 0x2087 (ERROR_DS_NO_CHAINING) occurs when chaining is not permitted during an operation.
What does error 0x2088 mean?,The error 0x2088 (ERROR_DS_NO_CHAINED_EVAL) indicates that chained evaluation is not permitted for the request.
What does error 0x2089 mean?,The error 0x2089 (ERROR_DS_NO_PARENT_OBJECT) means the operation could not be performed because the object's parent is either uninstantiated or deleted.
What does error 0x208A mean?,The error 0x208A (ERROR_DS_PARENT_IS_AN_ALIAS) occurs when an object cannot have an alias as its parent because aliases are leaf objects.
What does error 0x208B mean?,The error 0x208B (ERROR_DS_CANT_MIX_MASTER_AND_REPS) indicates that the object and its parent must be of the same type either both masters or both replicas.
What does error 0x208C mean?,The error 0x208C (ERROR_DS_CHILDREN_EXIST) means the operation cannot be performed because child objects exist under the object.
What does error 0x208D mean?,The error 0x208D (ERROR_DS_OBJ_NOT_FOUND) occurs when the requested directory object is not found.
What does error 0x208E mean?,The error 0x208E (ERROR_DS_ALIASED_OBJ_MISSING) means that the aliased object is missing or cannot be located.
What does error 0x208F mean?,The error 0x208F (ERROR_DS_BAD_NAME_SYNTAX) indicates that the object name has bad syntax and cannot be processed.
What does error 0x2090 mean?,The error 0x2090 (ERROR_DS_ALIAS_POINTS_TO_ALIAS) occurs when an alias points to another alias which is not permitted.
What does error 0x2091 mean?,The error 0x2091 (ERROR_DS_CANT_DEREF_ALIAS) means the alias cannot be dereferenced.
What does error 0x2092 mean?,The error 0x2092 (ERROR_DS_OUT_OF_SCOPE) indicates that the operation is out of scope for the given context.
What does error 0x2093 mean?,The error 0x2093 (ERROR_DS_OBJECT_BEING_REMOVED) occurs when the operation cannot proceed because the object is in the process of being removed.
What does error 0x2094 mean?,The error 0x2094 (ERROR_DS_CANT_DELETE_DSA_OBJ) means that the DSA object cannot be deleted.
What does error 0x2095 mean?,The error 0x2095 (ERROR_DS_GENERIC_ERROR) indicates a generic error in the directory service with no specific details provided.
What does error 0x2096 mean?,The error 0x2096 (ERROR_DS_DSA_MUST_BE_INT_MASTER) occurs when the operation can only be performed on an internal master DSA object.
What does error 0x2097 mean?,The error 0x2097 (ERROR_DS_CLASS_NOT_DSA) means that the object must be of the DSA (Directory System Agent) class.
What does error 0x2098 mean?,The error 0x2098 (ERROR_DS_INSUFF_ACCESS_RIGHTS) indicates insufficient access rights to perform the operation.
What does error 0x2099 mean?,The error 0x2099 (ERROR_DS_ILLEGAL_SUPERIOR) means the object cannot be added because the parent is not in the list of possible superiors.
What does error 0x209A mean?,The error 0x209A (ERROR_DS_ATTRIBUTE_OWNED_BY_SAM) indicates that access to the attribute is not permitted because it is owned by the Security Accounts Manager (SAM).
What does error 0x209B mean?,The error 0x209B (ERROR_DS_NAME_TOO_MANY_PARTS) means the object name has too many parts and cannot be processed.
What does error 0x209C mean?,The error 0x209C (ERROR_DS_NAME_TOO_LONG) occurs when the object name exceeds the maximum allowed length.
What does error 0x209D mean?,The error 0x209D (ERROR_DS_NAME_VALUE_TOO_LONG) means the name value is too long.
What does error 0x209E mean?,The error 0x209E (ERROR_DS_NAME_UNPARSEABLE) indicates that the directory service encountered an error parsing a name.
What does error 0x209F mean?,The error 0x209F (ERROR_DS_NAME_TYPE_UNKNOWN) occurs when the directory service cannot determine the attribute type for a given name.
What does error 0x20A0 mean?,The error 0x20A0 (ERROR_DS_NOT_AN_OBJECT) indicates that the name does not refer to a valid object but rather identifies a phantom.
What does error 0x20A1 mean?,The error 0x20A1 (ERROR_DS_SEC_DESC_TOO_SHORT) occurs when the security descriptor provided is too short to be processed.
What does error 0x20A2 mean?,The error 0x20A2 (ERROR_DS_SEC_DESC_INVALID) means the provided security descriptor is invalid.
What does error 0x20A3 mean?,The error 0x20A3 (ERROR_DS_NO_DELETED_NAME) indicates failure to create a name for a deleted object in the directory.
What does error 0x20A4 mean?,The error 0x20A4 (ERROR_DS_SUBREF_MUST_HAVE_PARENT) occurs when a new subreference (subref) object must have a parent that exists in the directory.
What does error 0x20A5 mean?,The error 0x20A5 (ERROR_DS_NCNAME_MUST_BE_NC) indicates that the object must be a naming context.
What does error 0x20A6 mean?,The error 0x20A6 (ERROR_DS_CANT_ADD_SYSTEM_ONLY) occurs when an attribute that is owned by the system is attempted to be added which is not permitted.
What does error 0x20A7 mean?,The error 0x20A7 (ERROR_DS_CLASS_MUST_BE_CONCRETE) indicates that the class of the object must be structural (concrete) and an abstract class cannot be instantiated.
What does error 0x20A8 mean?,The error 0x20A8 (ERROR_DS_INVALID_DMD) means the schema object could not be found. The DMD (Directory Management Domain) is invalid.
What does error 0x20A9 mean?,The error 0x20A9 (ERROR_DS_OBJ_GUID_EXISTS) occurs when an object with the same GUID already exists in the directory whether the object is active or deleted.
What does error 0x20AA mean?,The error 0x20AA (ERROR_DS_NOT_ON_BACKLINK) means the operation cannot be performed on a backlink object.
What does error 0x20AB mean?,The error 0x20AB (ERROR_DS_NO_CROSSREF_FOR_NC) indicates that the cross reference for the specified naming context could not be found.
What does error 0x20AC mean?,The error 0x20AC (ERROR_DS_SHUTTING_DOWN) occurs when the directory service is shutting down and the operation cannot be performed.
What does error 0x20AD mean?,The error 0x20AD (ERROR_DS_UNKNOWN_OPERATION) means the directory service request is invalid and cannot be processed.
What does error 0x20AE mean?,The error 0x20AE (ERROR_DS_INVALID_ROLE_OWNER) occurs when the role owner attribute cannot be read or is invalid.
What does error 0x20AF mean?,The error 0x20AF (ERROR_DS_COULDNT_CONTACT_FSMO) means the requested FSMO (Flexible Single Master Operation) role operation failed because the current FSMO holder could not be contacted.
What does error 0x20B0 mean?,The error 0x20B0 (ERROR_DS_CROSS_NC_DN_RENAME) indicates that modification of a DN (Distinguished Name) across a naming context is not permitted.
What does error 0x20B1 mean?,The error 0x20B1 (ERROR_DS_CANT_MOD_SYSTEM_ONLY) means the attribute cannot be modified because it is owned by the system.
What does error 0x20B2 mean?,The error 0x20B2 (ERROR_DS_REPLICATOR_ONLY) indicates that only the replicator can perform this specific function.
What does error 0x20B3 mean?,The error 0x20B3 (ERROR_DS_OBJ_CLASS_NOT_DEFINED) occurs when the specified object class is not defined in the schema.
What does error 0x20B4 mean?,The error 0x20B4 (ERROR_DS_OBJ_CLASS_NOT_SUBCLASS) means the specified class is not a subclass of the required class.
What does error 0x20B5 mean?,The error 0x20B5 (ERROR_DS_NAME_REFERENCE_INVALID) indicates that the name reference is invalid.
What does error 0x20B6 mean?,The error 0x20B6 (ERROR_DS_CROSS_REF_EXISTS) means a cross reference already exists for the specified object.
What does error 0x20B7 mean?,The error 0x20B7 (ERROR_DS_CANT_DEL_MASTER_CROSSREF) occurs when it is not permitted to delete a master cross reference.
What does error 0x20B8 mean?,The error 0x20B8 (ERROR_DS_SUBTREE_NOTIFY_NOT_NC_HEAD) indicates that subtree notifications are only supported on naming context (NC) heads.
What does error 0x20B9 mean?,The error 0x20B9 (ERROR_DS_NOTIFY_FILTER_TOO_COMPLEX) occurs when the notification filter is too complex for the directory service to process.
What does error 0x20BA mean?,The error 0x20BA (ERROR_DS_DUP_RDN) means schema update failed due to a duplicate Relative Distinguished Name (RDN).
What does error 0x20BB mean?,The error 0x20BB (ERROR_DS_DUP_OID) indicates that the schema update failed due to a duplicate Object Identifier (OID).
What does error 0x20BC mean?,The error 0x20BC (ERROR_DS_DUP_MAPI_ID) means schema update failed due to a duplicate MAPI identifier.
What does error 0x20BD mean?,The error 0x20BD (ERROR_DS_DUP_SCHEMA_ID_GUID) indicates that the schema update failed because of a duplicate schema-id GUID.
What does error 0x20BE mean?,The error 0x20BE (ERROR_DS_DUP_LDAP_DISPLAY_NAME) occurs when the schema update fails due to a duplicate LDAP display name.
What does error 0x20BF mean?,The error 0x20BF (ERROR_DS_SEMANTIC_ATT_TEST) means the schema update failed because the range-lower value is less than the range upper value.
What does error 0x20C0 mean?,The error 0x20C0 (ERROR_DS_SYNTAX_MISMATCH) indicates that the schema update failed due to a syntax mismatch.
What does error 0x20C1 mean?,The error 0x20C1 (ERROR_DS_EXISTS_IN_MUST_HAVE) occurs when schema deletion fails because an attribute is used in the must-contain list.
